country,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.000667,,,,,0.000667,,,,,0.000667,,,,,0.000667,,,,,0.000667,,,,,0.000667,,,,,0.000667,,,,,0.000667,,,,,0.000667,,,,,0.00133,,,,,0.002,,,,,0.00267,,,,,0.00267,,,,,0.00333,,,,,0.004,,,,,0.006,,,,,0.00867,,,,,0.012,,,,,0.0147,,,,,0.0193,,,,,0.0233,,,,,0.0413,,,,,0.052,,,,,0.0773,,,,,0.0993,0.107,0.107,0.113,0.12,0.127,0.127,0.133,0.133,0.14,0.147,0.147,0.153,0.16,0.167,0.173,0.18,0.193,0.2,0.207,0.213,0.22,0.227,0.233,0.233,0.24,0.24,0.253
Albania,0.00133,,,,,0.00133,,,,,0.00133,,,,,0.002,,,,,0.00267,,,,,0.00267,,,,,0.004,,,,,0.00467,,,,,0.006,,,,,0.0113,,,,,0.0193,,,,,0.03,,,,,0.042,,,,,0.0547,,,,,0.0687,,,,,0.0853,,,,,0.154,,,,,0.173,,,,,0.155,,,,,0.194,,,,,0.221,,,,,0.265,,,,,0.33,,,,,0.45,,,,,0.522,0.52,0.52,0.52,0.52,0.533,0.547,0.553,0.567,0.573,0.587,0.58,0.6,0.6,0.607,0.607,0.613,0.613,0.613,0.62,0.62,0.62,0.64,0.647,0.647,0.647,0.667,0.667
Algeria,0.00533,,,,,0.006,,,,,0.008,,,,,0.01,,,,,0.012,,,,,0.0147,,,,,0.0167,,,,,0.028,,,,,0.036,,,,,0.044,,,,,0.0493,,,,,0.0547,,,,,0.0573,,,,,0.06,,,,,0.0607,,,,,0.06,,,,,0.06,,,,,0.06,,,,,0.048,,,,,0.0427,,,,,0.052,,,,,0.0787,,,,,0.115,,,,,0.167,,,,,0.225,0.253,0.267,0.287,0.3,0.313,0.333,0.347,0.36,0.38,0.393,0.407,0.42,0.433,0.447,0.46,0.467,0.48,0.447,0.46,0.473,0.493,0.507,0.52,0.527,0.527,0.533,0.533
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447,0.473,0.507,0.673,0.7,0.653,0.673,0.673,0.673,0.673,0.673,0.68,0.68,0.68,0.68,0.68,0.68,0.68
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.3,0.3,0.307,0.313,0.313,0.313,0.32,0.327,0.327,0.333,0.34,0.34
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.593,0.6,0.6,0.607,0.607,0.613,0.613,0.62,0.62,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613
Argentina,0.0187,,,,,0.0233,,,,,0.0293,,,,,0.036,,,,,0.0427,,,,,0.0473,,,,,0.052,,,,,0.0613,,,,,0.108,,,,,0.145,,,,,0.173,,,,,0.196,,,,,0.227,,,,,0.253,,,,,0.278,,,,,0.298,,,,,0.307,,,,,0.333,,,,,0.355,,,,,0.373,,,,,0.395,,,,,0.429,,,,,0.448,,,,,0.497,,,,,0.525,0.533,0.533,0.54,0.547,0.553,0.567,0.573,0.587,0.593,0.607,0.607,0.613,0.62,0.613,0.607,0.6,0.593,0.593,0.62,0.653,0.653,0.653,0.653,0.653,0.653,0.66,0.66
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491,,,,,0.499,,,,,0.507,,,,,0.54,,,,,0.556,,,,,0.583,,,,,0.613,,,,,0.639,,,,,0.672,0.68,0.68,0.687,0.693,0.693,0.7,0.707,0.713,0.713,0.72,0.713,0.72,0.72,0.72,0.727,0.727,0.733,0.733,0.74,0.74,0.747,0.753,0.76,0.767,0.773,0.78,0.78
Australia,0.107,,,,,0.11,,,,,0.118,,,,,0.133,,,,,0.152,,,,,0.171,,,,,0.183,,,,,0.205,,,,,0.223,,,,,0.261,,,,,0.295,,,,,0.328,,,,,0.369,,,,,0.41,,,,,0.446,,,,,0.481,,,,,0.525,,,,,0.537,,,,,0.551,,,,,0.569,,,,,0.623,,,,,0.669,,,,,0.719,,,,,0.735,,,,,0.747,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.793,0.793,0.793,0.787,0.787,0.787,0.78,0.793,0.8,0.82,0.82,0.827,0.833,0.84,0.84,0.847,0.853,0.86,0.86
Austria,0.142,,,,,0.149,,,,,0.157,,,,,0.162,,,,,0.176,,,,,0.193,,,,,0.214,,,,,0.238,,,,,0.263,,,,,0.288,,,,,0.315,,,,,0.341,,,,,0.369,,,,,0.397,,,,,0.419,,,,,0.436,,,,,0.428,,,,,0.412,,,,,0.396,,,,,0.462,,,,,0.509,,,,,0.532,,,,,0.547,,,,,0.561,,,,,0.576,0.58,0.58,0.587,0.587,0.593,0.593,0.593,0.6,0.6,0.6,0.613,0.627,0.64,0.653,0.66,0.673,0.773,0.767,0.78,0.787,0.787,0.787,0.793,0.807,0.807,0.807,0.807
